_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfiCLLFP6nVsTwUZYz-,2281,0.5,3,blobT,practice,3,1,0,,1,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowLeft,none,1,,4,1,1
-MfiCMjwA7f_yRAyPuHZ,2553,0.5,2,blobT,practice,3,2,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowLeft,blobT,2,,4,0,1
-MfiCO3BtNHN_-qBxrTZ,2367,0.5,0,arrowT,practice,3,3,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowRight,blobT,1,,4,1,1
-MfiCPMZHKtKQTBlD81U,2315,0.5,3,arrowT,practice,3,4,0,,1,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowLeft,arrowT,2,,10,0,1
-MfiCQOgu4MOvwHjQdAt,1202,0.5,4,arrowT,practice,3,5,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowRight,arrowT,3,,10,0,1
-MfiCRbRA_e9BwfYe4Zr,1955,0.5,6,arrowT,practice,3,6,0,,1,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowRight,arrowT,4,,7,0,1
-MfiCSjJnAyBmZXN8Y03,2581,0.5,4,blobT,practice,3,7,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowLeft,arrowT,1,,7,1,1
-MfiCUgBvFdpWu_63BXx,4973,0.5,4,blobT,practice,3,8,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowLeft,blobT,2,,10,0,1
-MfiCVhgzxixAMWqG19T,2163,0.5,0,arrowT,practice,3,9,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowLeft,blobT,1,,7,1,1
-MfiCWXgXQZ2gVkoaS1U,1377,0.5,5,arrowT,practice,3,10,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowRight,arrowT,2,,7,0,1
-MfiCXHoCBy8DtBSsJEe,1061,0.5,1,arrowT,experiment,3,11,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowLeft,arrowT,3,,4,0,1
-MfiCYJgFVYAduXiroTC,1197,0.5,0,arrowT,experiment,3,12,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowLeft,arrowT,4,,4,0,1
-MfiCZ7BMyUGF5Sx-1RD,1275,0.5,7,arrowT,experiment,3,13,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowRight,arrowT,5,,10,0,1
-MfiC_E4-8Gm0jje0TVF,2518,0.5,0,blobT,experiment,3,14,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowLeft,arrowT,1,,4,1,1
-MfiCaIxJNmbrsgF1vI2,1391,0.5,1,arrowT,experiment,3,15,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowRight,blobT,1,,4,1,1
-MfiCbQw8E9nCMw3RXU5,1602,0.5,2,arrowT,experiment,3,16,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowLeft,arrowT,2,,7,0,1
-MfiCclAVuBby6iLbbfs,2436,0.5,1,blobT,experiment,3,17,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowLeft,arrowT,1,,10,1,1
-MfiCdeoVuN8okodxzSc,1655,0.5,7,arrowT,experiment,3,18,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowLeft,blobT,1,,10,1,1
-MfiCecKSc5wSKZFJcbR,1918,0.5,3,arrowT,experiment,3,19,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowRight,arrowT,2,,7,0,1
-MfiCg0w_GT-fYjhLx2u,3683,0.5,6,blobT,experiment,3,20,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowRight,arrowT,1,,7,1,1
-MfiChFwTtc69jp2zM2F,2036,0.5,3,blobT,experiment,3,21,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowLeft,blobT,2,,4,0,1
-MfiCiHQrt_ucor9vV2s,1172,0.5,0,arrowT,experiment,3,22,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowRight,blobT,1,,4,1,1
-MfiCj2YCpAhbdpil86N,1128,0.5,5,arrowT,experiment,3,23,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowRight,arrowT,2,,7,0,1
-MfiCkJBfsrBe3vUi7S5,2145,0.5,1,blobT,experiment,3,24,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowRight,arrowT,1,,4,1,1
-MfiClLBLdRfElZx1z0X,1206,0.5,1,arrowT,experiment,3,25,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowLeft,blobT,1,,4,1,1
-MfiCmLIdtrhL4ollxQg,1085,0.5,2,arrowT,experiment,3,26,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowRight,arrowT,2,,4,0,1
-MfiCnQQRfF1S_gRGAOi,1399,0.5,2,arrowT,experiment,3,27,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowRight,arrowT,3,,10,0,1
-MfiCoSvzYs8BzrXYRli,1212,0.5,2,arrowT,experiment,3,28,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowRight,arrowT,4,,4,0,1
-MfiCpDfLAAl7vVQjrJ-,1110,0.5,0,arrowT,experiment,3,29,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowRight,arrowT,5,,10,0,1
-MfiCq7nktosWgIbHAan,704,0.5,4,arrowT,experiment,3,30,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowRight,arrowT,6,,10,0,1
-MfiCr0H_DC0YY8cVtyv,1602,0.5,6,arrowT,experiment,3,31,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowLeft,arrowT,7,,7,0,1
-MfiCsTv6nK2NlFiuZ1w,2978,0.5,0,arrowT,experiment,3,32,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowRight,arrowT,8,,10,0,1
-MfiCtPYWU5hhEVzsnzg,1798,0.5,4,arrowT,experiment,3,33,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowLeft,arrowT,9,,7,0,1
-MfiCui25pf3Aoz1j8tn,2321,0.5,5,blobT,experiment,3,34,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowLeft,arrowT,1,,10,1,1
-MfiCwNY1XyaAehm11Jf,3802,0.5,4,blobT,experiment,3,35,0,,0,blob_and_arrow,AVCOBHDVXZOZL,0,,ArrowRight,blobT,2,,10,0,1
