_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfiHhAkhvpBKuAIPUTx,2560,0.5,3,blobT,practice,3,1,0,,1,blob_and_arrow,A2F5QCUTZU7KF7,0,,ArrowLeft,none,1,,4,1,1
-MfiHibKBDArHtWTbDrj,4135,0.5,6,arrowT,practice,3,2,0,,1,blob_and_arrow,A2F5QCUTZU7KF7,0,,ArrowLeft,blobT,1,,7,1,1
-MfiHkJIGgn-A0qayQOB,3963,0.5,0,blobT,practice,3,3,0,,1,blob_and_arrow,A2F5QCUTZU7KF7,0,,ArrowRight,arrowT,1,,4,1,1
-MfiHmccMbcBeSoCVK7i,6480,0.5,0,arrowT,practice,3,4,0,,0,blob_and_arrow,A2F5QCUTZU7KF7,0,,ArrowLeft,blobT,1,,10,1,1
-MfiHoWIwcijG_IVj8yi,5710,0.5,3,blobT,practice,3,5,0,,1,blob_and_arrow,A2F5QCUTZU7KF7,0,,ArrowLeft,arrowT,1,,7,1,1
-MfiHpwLBT1SJNskQV-I,2808,0.5,0,arrowT,practice,3,6,0,,0,blob_and_arrow,A2F5QCUTZU7KF7,0,,ArrowRight,blobT,1,,4,1,1
-MfiHsMqXc0ZsOMKOW42,6940,0.5,0,arrowT,practice,3,7,0,,0,blob_and_arrow,A2F5QCUTZU7KF7,0,,ArrowLeft,arrowT,2,,4,0,1
-MfiHuVJ8ksQKfVY2ysa,5714,0.5,7,arrowT,practice,3,8,0,,0,blob_and_arrow,A2F5QCUTZU7KF7,0,,ArrowRight,arrowT,3,,10,0,1
-MfiHvZJdxmgF4AESMvk,2336,0.5,4,arrowT,practice,3,9,0,,0,blob_and_arrow,A2F5QCUTZU7KF7,0,,ArrowLeft,arrowT,4,,10,0,1
-MfiHx--t3WImLBAToZK,2846,0.5,2,arrowT,practice,3,10,0,,1,blob_and_arrow,A2F5QCUTZU7KF7,0,,ArrowLeft,arrowT,5,,4,0,1
-MfiHy6lYc3ev3Phoqmf,1582,0.5,2,arrowT,experiment,3,11,0,,0,blob_and_arrow,A2F5QCUTZU7KF7,0,,ArrowRight,arrowT,6,,4,0,1
-MfiHzAf_-jkOTZk721e,2331,0.5,0,arrowT,experiment,3,12,0,,0,blob_and_arrow,A2F5QCUTZU7KF7,0,,ArrowRight,arrowT,7,,4,0,1
-MfiI-ugW_eQIgqIp-kA,4095,0.5,1,blobT,experiment,3,13,0,,0,blob_and_arrow,A2F5QCUTZU7KF7,0,,ArrowLeft,arrowT,1,,4,1,1
-MfiI1SFJAO1jXPDqwmT,3290,0.5,1,blobT,experiment,3,14,0,,0,blob_and_arrow,A2F5QCUTZU7KF7,0,,ArrowRight,blobT,2,,7,0,1
-MfiI3di0i1B7vU0h9vZ,5972,0.5,4,arrowT,experiment,3,15,0,,0,blob_and_arrow,A2F5QCUTZU7KF7,0,,ArrowRight,blobT,1,,10,1,1
-MfiI4kmV9L91LjHIRWN,2533,0.5,0,blobT,experiment,3,16,0,,0,blob_and_arrow,A2F5QCUTZU7KF7,0,,ArrowLeft,arrowT,1,,7,1,1
-MfiI6EuvNJOPE3dsuju,3069,0.5,0,blobT,experiment,3,17,0,,0,blob_and_arrow,A2F5QCUTZU7KF7,0,,ArrowRight,blobT,2,,7,0,1
-MfiI7eZAvbcJ9jewTQf,3786,0.5,3,arrowT,experiment,3,18,0,,0,blob_and_arrow,A2F5QCUTZU7KF7,0,,ArrowLeft,blobT,1,,7,1,1
