_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfiNAe73HnpNN4YOYE9,1305,0.5,3,arrowT,practice,3,2,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,1,,4,1,1
-MfiNB1yVKzQKjdq97h1,1435,0.5,6,blobT,practice,3,1,0,,1,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,none,1,,10,1,1
-MfiNBmd11JddV0n9X6a,1602,0.5,7,arrowT,practice,3,3,0,,1,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,2,,10,0,1
-MfiNCr_GaLgnKSUTzwN,1377,0.5,0,blobT,practice,3,4,0,,1,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,arrowT,1,,4,1,1
-MfiNDvsMKD2p01MZ-wo,1340,0.5,1,blobT,practice,3,5,0,,1,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,2,,4,0,1
-MfiNEuG0D4xiCAgzFGm,1963,0.5,5,arrowT,practice,3,6,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,1,,10,1,1
-MfiNFwkbpMKedyMhtWr,1231,0.5,4,arrowT,practice,3,7,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,2,,7,0,1
-MfiNGwkMl7GQUOcEnOg,1071,0.5,4,arrowT,practice,3,8,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,3,,7,0,1
-MfiNI53JCkm4qthZwni,1655,0.5,6,blobT,practice,3,9,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,arrowT,1,,10,1,1
-MfiNJLkvGV3T28aj25u,2136,0.5,0,arrowT,practice,3,10,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,1,,10,1,1
-MfiNNFVxwwBB4C7CCyF,12963,0.5,9,arrowT,experiment,3,11,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,arrowT,2,,10,0,1
-MfiNOX-UwAhhj8Kzt62,2189,0.5,2,blobT,experiment,3,12,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,1,,7,1,1
-MfiNPeV3dBUWhJ9ghc_,1614,0.5,0,blobT,experiment,3,13,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,2,,7,0,1
-MfiNQRcDKf8vzbTz6Kr,1188,0.5,2,arrowT,experiment,3,14,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,1,,7,1,1
-MfiNRRfr2DrMW67vOuj,1072,0.5,0,blobT,experiment,3,15,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,arrowT,1,,4,1,1
-MfiNSUQxlWBlY9mAy3-,1247,0.5,0,blobT,experiment,3,16,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,2,,4,0,1
-MfiNTXkx_YfvfJkBshN,1280,0.5,2,blobT,experiment,3,17,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,3,,4,0,1
-MfiNUYdpOoGWwzps3ws,1139,0.5,0,arrowT,experiment,3,18,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,1,,7,1,1
-MfiNV_z9EryACDyeScr,1217,0.5,5,arrowT,experiment,3,19,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,arrowT,2,,7,0,1
-MfiNWYjb3_ylH2QN4a_,929,0.5,3,arrowT,experiment,3,20,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,3,,4,0,1
-MfiNXb6Y2jyxlvTUb4R,1276,0.5,3,blobT,experiment,3,21,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,1,,4,1,1
-MfiNYQYO4z-kJ2LSM-u,1341,0.5,7,blobT,experiment,3,22,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,2,,10,0,1
-MfiNZMHjq6Rop_gIiQn,807,0.5,1,arrowT,experiment,3,23,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,1,,4,1,1
-MfiN_DM1OmVqyNd41jM,1498,0.5,1,blobT,experiment,3,24,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,arrowT,1,,4,1,1
-MfiNa6hwSiNHJB7ro-_,1646,0.5,9,arrowT,experiment,3,25,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,1,,10,1,1
-MfiNb3AFd3gb5Llnlns,844,0.5,0,arrowT,experiment,3,26,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,arrowT,2,,4,0,1
-MfiNc2_F7N7S60IqTQs,1043,0.5,1,arrowT,experiment,3,27,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,arrowT,3,,10,0,1
-MfiNd9vNNhdtDL1ZqlS,1537,0.5,8,arrowT,experiment,3,28,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,4,,10,0,1
-MfiNe-MNGEenh44nQsx,1389,0.5,0,blobT,experiment,3,29,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,1,,4,1,1
-MfiNfEzWhQ4DZhlcEJf,2070,0.5,8,arrowT,experiment,3,30,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,1,,10,1,1
-MfiNgDoyI7ujNFcPSdy,1992,0.5,8,blobT,experiment,3,31,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,1,,10,1,1
-MfiNhPP_Vb1NKirCH-F,1824,0.5,5,arrowT,experiment,3,32,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,1,,10,1,1
-MfiNigVMNs_ykGcb8qN,2228,0.5,1,arrowT,experiment,3,33,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,2,,7,0,1
-MfiNjlPDSJrzWtluBA6,1383,0.5,2,blobT,experiment,3,34,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,arrowT,1,,10,1,1
-MfiNkmrcBm8jU6l2v1u,1177,0.5,0,arrowT,experiment,3,35,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,1,,7,1,1
-MfiNltE5WXBV8m8c33N,1460,0.5,0,blobT,experiment,3,36,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,arrowT,1,,7,1,1
-MfiNn6q5VBljcUqPxrD,1987,0.5,5,blobT,experiment,3,37,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,2,,10,0,1
-MfiNo3cQNCdEHjQxgnA,871,0.5,2,arrowT,experiment,3,38,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,1,,4,1,1
-MfiNopRxIjz6rN6-h2K,1105,0.5,3,arrowT,experiment,3,39,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,2,,4,0,1
-MfiNpsjxcmo_HgLlylj,1284,0.5,4,blobT,experiment,3,40,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,arrowT,1,,7,1,1
-MfiNquULlUlDI16NQ7T,1179,0.5,4,arrowT,experiment,3,41,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,1,,7,1,1
-MfiNrlQH5mzqtunrKjx,1497,0.5,6,arrowT,experiment,3,42,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,2,,7,0,1
-MfiNswryqEOtcdCCoEV,1801,0.5,2,arrowT,experiment,3,43,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,arrowT,3,,10,0,1
-MfiNuAb9NRUushp5Adb,2011,0.5,0,blobT,experiment,3,44,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,arrowT,1,,7,1,1
-MfiNv8-_27JYtiA7_GP,893,0.5,2,arrowT,experiment,3,45,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,1,,4,1,1
-MfiNw7jrC_KXm5LYYUX,1056,0.5,6,blobT,experiment,3,46,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,1,,10,1,1
-MfiNx9X8ptjSc1LxqmO,1177,0.5,6,arrowT,experiment,3,47,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,1,,10,1,1
-MfiNyDjdug8kag4mszE,1339,0.5,0,blobT,experiment,3,48,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,arrowT,1,,4,1,1
-MfiNz6EInWNljojcZ-7,1604,0.5,1,blobT,experiment,3,49,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,2,,7,0,1
-MfiO-GN2RGCsQBR1Gxh,1735,0.5,5,arrowT,experiment,3,50,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,1,,10,1,1
-MfiO0GFY5rEJXrfmRjA,1058,0.5,4,blobT,experiment,3,51,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,arrowT,1,,7,1,1
-MfiO1FUB1vJOG0kUXW4,1024,0.5,3,blobT,experiment,3,52,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,2,,4,0,1
-MfiO2FlAO_7BmZWuRTG,2088,0.5,9,blobT,experiment,3,53,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,3,,10,0,1
-MfiO38bMwcpROXD5IQQ,1616,0.5,3,blobT,experiment,3,54,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,4,,4,0,1
-MfiO45dQ-TGFmY87IRh,887,0.5,2,arrowT,experiment,3,55,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,1,,4,1,1
-MfiO5C6cN688OgWtiwi,1483,0.5,2,blobT,experiment,3,56,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,1,,10,1,1
-MfiO6CFfwxJzyHcNatu,1084,0.5,3,blobT,experiment,3,57,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,2,,4,0,1
-MfiO7DaRcswo3Q_D5A9,1151,0.5,2,blobT,experiment,3,58,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,3,,4,0,1
-MfiO8Ar-3gWaQv_V_Xr,902,0.5,0,blobT,experiment,3,59,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,4,,4,0,1
-MfiO9F56f_0EaKXT3mC,1347,0.5,3,arrowT,experiment,3,60,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,1,,4,1,1
-MfiOAUbYl-iIa-s1w8e,2065,0.5,7,blobT,experiment,3,61,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,1,,10,1,1
-MfiOBnHXST7ZzbzADq9,2340,0.5,0,arrowT,experiment,3,62,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,1,,10,1,1
-MfiOCtnuUHzKiRQQFQJ,1494,0.5,0,blobT,experiment,3,63,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,1,,4,1,1
-MfiOE5OMZsRuqN8QVD3,1883,0.5,9,blobT,experiment,3,64,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,2,,10,0,1
-MfiOF6agQfgWICdtCRF,1148,0.5,6,arrowT,experiment,3,65,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,1,,10,1,1
-MfiOGA5jZwctXmRNI7N,1290,0.5,2,arrowT,experiment,3,66,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,2,,10,0,1
-MfiOGyypojT5eKG09YY,1301,0.5,1,blobT,experiment,3,67,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,arrowT,1,,4,1,1
-MfiOHnMbu4dHYGFc0BO,1336,0.5,3,arrowT,experiment,3,68,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,1,,4,1,1
-MfiOImtNhCTj5iMy9n4,1039,0.5,4,arrowT,experiment,3,69,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,2,,7,0,1
-MfiOJr50oStRprlJQMd,1329,0.5,3,blobT,experiment,3,70,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,arrowT,1,,10,1,1
-MfiOL0jYJ_E-50fP9oM,1759,0.5,5,blobT,experiment,3,71,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,2,,7,0,1
-MfiOLlBGQvamJyTG9MW,1017,0.5,0,blobT,experiment,3,72,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,3,,4,0,1
-MfiOMtz17go9BptI7gf,1637,0.5,2,blobT,experiment,3,73,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,4,,7,0,1
-MfiONvHTpM75sCUruWu,1159,0.5,0,arrowT,experiment,3,74,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,1,,4,1,1
-MfiOP6jZZxIxujtzmQ0,1884,0.5,1,arrowT,experiment,3,75,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,arrowT,2,,7,0,1
-MfiOQBmXTPHCTP9WoVO,1392,0.5,5,arrowT,experiment,3,76,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,3,,10,0,1
-MfiOR8E_e9B8IDPciIp,842,0.5,2,blobT,experiment,3,77,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,1,,4,1,1
-MfiORvMkZNfHWiK43zn,1185,0.5,8,arrowT,experiment,3,78,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,1,,10,1,1
-MfiOSznpWM7HU7KG1LO,1356,0.5,5,arrowT,experiment,3,79,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,arrowT,2,,10,0,1
-MfiOU0UONzI6EnoGFII,1173,0.5,0,arrowT,experiment,3,80,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,3,,4,0,1
-MfiOVE6wX7ZI5nnyauy,1939,0.5,1,blobT,experiment,3,81,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,arrowT,1,,7,1,1
-MfiOW2r-makPjrEvs_4,1357,0.5,5,blobT,experiment,3,82,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,2,,10,0,1
-MfiOX07JIvxeLzMtVsx,905,0.5,0,blobT,experiment,3,83,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,3,,4,0,1
-MfiOXybvvw3tuLd-WBI,909,0.5,6,blobT,experiment,3,84,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,4,,7,0,1
-MfiOYiLJ6gESzQ7-yOp,1026,0.5,1,blobT,experiment,3,85,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowLeft,blobT,5,,4,0,1
-MfiOZhGLP9_LfHDAJTC,2011,0.5,6,blobT,experiment,3,86,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,6,,7,0,1
-MfiO_hGHCatlhtm3L0w,1078,0.5,3,arrowT,experiment,3,87,0,,0,blob_and_arrow,A3FXXVWB4808XQ,0,,ArrowRight,blobT,1,,7,1,1
