_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfiCTNi54SWXpX5EmbE,2614,0.5,2,blobT,practice,3,1,0,,0,blob_and_arrow,A2NHFSO7GMM8QR,0,,ArrowLeft,none,1,,10,1,1
-MfiCUtc2sSC_YbIhV0K,2369,0.5,1,arrowT,practice,3,2,0,,0,blob_and_arrow,A2NHFSO7GMM8QR,0,,ArrowRight,blobT,1,,4,1,1
-MfiCVvlpWccIVoNEBYU,1224,0.5,2,blobT,practice,3,3,0,,0,blob_and_arrow,A2NHFSO7GMM8QR,0,,ArrowRight,arrowT,1,,10,1,1
-MfiCXDpXRGtGCtemg7O,2311,0.5,2,arrowT,practice,3,4,0,,0,blob_and_arrow,A2NHFSO7GMM8QR,0,,ArrowLeft,blobT,1,,4,1,1
-MfiCYY0JKfOAGdWd7th,2380,0.5,2,blobT,practice,3,5,0,,1,blob_and_arrow,A2NHFSO7GMM8QR,0,,ArrowLeft,arrowT,1,,7,1,1
-MfiCZfruci8hJWudop3,1656,0.5,0,blobT,practice,3,6,0,,1,blob_and_arrow,A2NHFSO7GMM8QR,0,,ArrowRight,blobT,2,,4,0,1
-MfiCaIHEJWRW-cAtu9c,3612,0.5,4,blobT,practice,3,7,0,,0,blob_and_arrow,A2NHFSO7GMM8QR,0,,ArrowLeft,blobT,3,,7,0,1
-MfiCbJxEZMgyA1eO4wT,1198,0.5,4,blobT,practice,3,8,0,,0,blob_and_arrow,A2NHFSO7GMM8QR,0,,ArrowLeft,blobT,4,,10,0,1
-MfiCcz42GUHX5hNYbuC,3786,0.5,9,blobT,practice,3,9,0,,1,blob_and_arrow,A2NHFSO7GMM8QR,0,,ArrowRight,blobT,5,,10,0,1
-MfiCefsxaNEInNyYAXz,3956,0.5,0,blobT,practice,3,10,0,,0,blob_and_arrow,A2NHFSO7GMM8QR,0,,ArrowRight,blobT,6,,4,0,1
-MfiCfvd7lR5gt36qFJx,2098,0.5,3,arrowT,experiment,3,11,0,,0,blob_and_arrow,A2NHFSO7GMM8QR,0,,ArrowRight,blobT,1,,4,1,1
-MfiChA2-66js4fs7kVz,2074,0.5,0,arrowT,experiment,3,12,0,,1,blob_and_arrow,A2NHFSO7GMM8QR,0,,ArrowLeft,arrowT,2,,10,0,1
-MfiCjIoCubSmup_EBKU,5747,0.5,8,blobT,experiment,3,13,0,,0,blob_and_arrow,A2NHFSO7GMM8QR,0,,ArrowLeft,arrowT,1,,10,1,1
-MfiCkX2iJBzF6WWpoJX,1995,0.5,6,arrowT,experiment,3,14,0,,0,blob_and_arrow,A2NHFSO7GMM8QR,0,,ArrowLeft,blobT,1,,10,1,1
-MfiClhS0lpOODS_M2iQ,1820,0.5,0,blobT,experiment,3,15,0,,0,blob_and_arrow,A2NHFSO7GMM8QR,0,,ArrowRight,arrowT,1,,4,1,1
-MfiCnnoAgV_34qep973,5592,0.5,2,arrowT,experiment,3,16,0,,1,blob_and_arrow,A2NHFSO7GMM8QR,0,,ArrowRight,blobT,1,,10,1,1
-MfiCpRqaXsdz7QmjCvI,3714,0.5,6,blobT,experiment,3,17,0,,0,blob_and_arrow,A2NHFSO7GMM8QR,0,,ArrowRight,arrowT,1,,7,1,1
-MfiCqyDGr13MsxTjljt,3229,0.5,3,blobT,experiment,3,18,0,,1,blob_and_arrow,A2NHFSO7GMM8QR,0,,ArrowLeft,blobT,2,,7,0,1
-MfiCtKxePkqfmY7zsV4,6701,0.5,2,arrowT,experiment,3,19,0,,0,blob_and_arrow,A2NHFSO7GMM8QR,0,,ArrowLeft,blobT,1,,10,1,1
