Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
30289,The Republic,Plato,"Plato, Plato",Desmond Lee,"=""0140449140""","=""9780140449143""",5,3.96,Penguin Classics,Paperback,416,2003,-375,2022/12/27,2022/11/10,"classics, literature","classics (#23), literature (#7)",read,,,,1,0
172161,Contemporary Linguistic Analysis: An Introduction,William D. O'Grady,"O'Grady, William D.",John Archibald,"=""0201478129""","=""9780201478129""",0,3.82,Addison Wesley Publishing Company,Paperback,658,2000,1987,,2022/12/23,"currently-reading, linguistics","currently-reading (#5), linguistics (#4)",currently-reading,,,,1,0
23158816,Applied Combinatorics,Mitchel T. Keller,"Keller, Mitchel T.",William T. Trotter,"=""""","=""""",0,2.67,,Unbound,,2010,2010,,2022/12/23,"currently-reading, mathematics","currently-reading (#4), mathematics (#9)",currently-reading,,,,1,0
52618011,Essentials of Linguistics,Catherine       Anderson,"Anderson, Catherine",,"=""""","=""""",3,3.10,McMaster University,ebook,456,,,2022/12/21,2022/08/21,linguistics,linguistics (#1),read,,,,1,0
6656,The Divine Comedy,Dante Alighieri,"Alighieri, Dante","Allen Mandelbaum, Eugenio Montale, Peter Armour, Sandro Botticelli","=""0679433139""","=""9780679433132""",0,4.07,Everyman's Library,Hardcover,798,1995,1320,,2022/12/15,to-read,to-read (#37),to-read,,,,0,0
6759,Infinite Jest,David Foster Wallace,"Wallace, David Foster",,"=""""","=""""",0,4.26,Back Bay Books,Paperback,1088,2005,1996,,2022/12/15,to-read,to-read (#36),to-read,,,,0,0
624621,Vowels and Consonants,Peter Ladefoged,"Ladefoged, Peter",,"=""1405124598""","=""9781405124591""",4,3.75,Wiley-Blackwell,Paperback,224,2005,2000,2022/12/15,2022/09/05,linguistics,linguistics (#3),read,Finished LIN228,,,1,0
17563539,The Egg,Andy Weir,"Weir, Andy",,"=""""","=""""",0,4.22,Andy Weir / Galactanet,ebook,3,2009,2009,,2022/12/12,to-read,to-read (#35),to-read,,,,0,0
309768,Linear Algebra Done Right,Sheldon Axler,"Axler, Sheldon",,"=""0387982582""","=""9780387982588""",5,4.36,Springer,Paperback,251,2004,1995,2022/12/11,2022/06/11,mathematics,mathematics (#8),read,"Chapters 1-5, and 8",,,1,0
171903,The Sounds of Language: An Introduction to Phonetics,Henry Rogers,"Rogers, Henry",,"=""0582381827""","=""9780582381827""",4,4.00,Routledge,Paperback,368,2000,2000,2022/12/08,2022/09/11,"linguistics, science","linguistics (#2), science (#32)",read,,,,1,0
10016013,Harry Potter and the Methods of Rationality,Eliezer Yudkowsky,"Yudkowsky, Eliezer",,"=""""","=""""",0,4.40,hpmor.com & fanfiction.net,ebook,2184,2015,2015,,2022/11/24,to-read,to-read (#34),to-read,,,,0,0
662,Atlas Shrugged,Ayn Rand,"Rand, Ayn",Leonard Peikoff,"=""0452011876""","=""9780452011878""",0,3.69,Plume,Paperback,1168,1999,1957,,2022/11/24,to-read,to-read (#33),to-read,,,,0,0
242472,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas","David Chandler, Микола Климчук","=""""","=""""",0,3.95,Random House ,Hardcover,366,2007,2007,,2022/11/18,to-read,to-read (#32),to-read,,,,0,0
57203194,Flights of Fancy: Defying Gravity by Design and Evolution,Richard Dawkins,"Dawkins, Richard",Jana Lenzová,"=""""","=""""",0,4.16,Apollo,Kindle Edition,282,2021,2021,,2022/11/18,to-read,to-read (#31),to-read,,,,0,0
28231703,Harry Potter et le Prisonnier d'Azkaban (La série de livres Harry Potter t. 3),J.K. Rowling,"Rowling, J.K.","Olly Moss, Jean-François Ménard","=""""","=""""",5,4.58,Pottermore from J.K. Rowling,Kindle Edition,443,2015,1999,2022/03/04,2022/06/11,french,french (#3),read,,,,1,0
7170627,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""""","=""""",5,4.32,Scribner,Hardcover,571,2010,2010,2022/11/10,2022/09/05,"biology, science","biology (#4), science (#31)",read,,,,1,0
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Eleanor Roosevelt, Susan Massotty, Γιάννης Θωμόπουλος, Barbara Mooyaart-Doubleday, Otto H. Frank, Mirjam Pressler","=""""","=""""",0,4.18,Bantam,Mass Market Paperback,283,1993,1947,,2022/11/10,to-read,to-read (#30),to-read,,,,0,0
471003,A History of Modern Europe: From the Renaissance to the Present,John M. Merriman,"Merriman, John M.",,"=""0393979105""","=""9780393979107""",4,3.85,W. W. Norton & Company,Paperback,1365,2004,1996,2022/10/22,2022/08/12,history,history (#8),read,,,,1,0
32776186,Greek Sanctuaries and Temple Architecture: An Introduction,Mary Emerson,"Emerson, Mary",,"=""1472575288""","=""9781472575289""",4,3.78,Bloomsbury Academic,Paperback,296,2018,,,2022/09/28,"history, art","history (#9), art (#1)",read,,,,1,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",0,3.84,Vintage Books ,Paperback,288,2010,2005,,2022/11/02,to-read,to-read (#29),to-read,,,,0,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",0,3.76,Alfred A. Knopf,Hardcover,303,2021,2021,,2022/11/02,to-read,to-read (#28),to-read,,,,0,0
