_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfcjjUNgggo9mVeC6x4,10344,0.5,0,smallsharpT,practice,3,1,0,,0,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowLeft,none,1,,18,1,1
-MfcjmTyQIWXXUOR6Kgn,4941,0.5,5,smalldotT,practice,3,2,0,,0,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfcjoXNFDBNrgbE51qm,5392,0.5,5,smallsharpT,practice,3,3,0,,1,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfcjpyKGI6o9JEIf9c5,2857,0.5,4,smalldotT,practice,3,4,0,,0,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowRight,smallsharpT,1,,12,1,1
-MfcjrgGTisE8jRR-avi,4018,0.5,9,smallsharpT,practice,3,5,0,,0,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowLeft,smalldotT,1,,18,1,1
-MfcjtNNwxBfDvsN_bLr,3900,0.5,11,smalldotT,practice,3,6,0,,1,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowRight,smallsharpT,1,,18,1,1
-Mfcjv2Apb1Ng1dLzyTz,3814,0.5,9,smallsharpT,practice,3,7,0,,0,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowRight,smalldotT,1,,12,1,1
-Mfcjx97q9yr-zqxl_cm,5621,0.5,7,smallsharpT,practice,3,8,0,,0,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowRight,smallsharpT,2,,18,0,1
-Mfcjyvdfik47bCHcYQx,4252,0.5,11,smallsharpT,practice,3,9,0,,0,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowLeft,smallsharpT,3,,12,0,1
-Mfck-nCJDN0bcKmO4E5,4632,0.5,6,smalldotT,practice,3,10,0,,1,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowRight,smallsharpT,1,,18,1,1
-Mfck0t6jJ9NJNGppDk2,1454,0.5,4,smalldotT,experiment,3,11,0,,0,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowLeft,smalldotT,2,,18,0,1
-Mfck1oo_7Ipmivo8XTw,807,0.5,2,smalldotT,experiment,3,12,0,,0,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowLeft,smalldotT,3,,6,0,1
-Mfck2yhT_ThSwz2TbQv,1713,0.5,1,smalldotT,experiment,3,13,0,,1,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowLeft,smalldotT,4,,18,0,1
-Mfck49Tm_fR6jOsl5LU,1828,0.5,0,smallsharpT,experiment,3,14,0,,1,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowRight,smalldotT,1,,6,1,1
-Mfck5lLFk4y07Dp9bHm,3570,0.5,10,smallsharpT,experiment,3,15,0,,1,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowLeft,smallsharpT,2,,12,0,1
-Mfck71oit4YJTMPYtAu,2202,0.5,3,smalldotT,experiment,3,16,0,,0,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowLeft,smallsharpT,1,,12,1,1
-Mfck8U4peppSk-zAocy,3889,0.5,1,smallsharpT,experiment,3,17,0,,0,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowLeft,smalldotT,1,,6,1,1
-Mfck9q4FjiHSg85h0E-,2548,0.5,5,smallsharpT,experiment,3,18,0,,0,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowLeft,smallsharpT,2,,6,0,1
-MfckBucZ6yPIuX8IK9e,6467,0.5,7,smallsharpT,experiment,3,19,0,,1,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowLeft,smallsharpT,3,,12,0,1
-MfckDC-yefIga0H95I8,2249,0.5,5,smalldotT,experiment,3,20,0,,0,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfckEIi38u1ISi0eM7v,1506,0.5,3,smallsharpT,experiment,3,21,0,,0,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowRight,smalldotT,1,,6,1,1
-MfckGT6Fam8Q8RYXHzq,5841,0.5,1,smallsharpT,experiment,3,22,0,,0,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowLeft,smallsharpT,2,,18,0,1
-MfckHv3ix_Mwv_xVP_T,2922,0.5,8,smalldotT,experiment,3,23,0,,0,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowRight,smallsharpT,1,,12,1,1
-MfckJVZwXq8qWdrCczF,3475,0.5,5,smallsharpT,experiment,3,24,0,,1,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowRight,smalldotT,1,,18,1,1
-MfckKTDSCEn14xKR6Z7,1930,0.5,5,smallsharpT,experiment,3,25,0,,1,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowLeft,smallsharpT,2,,12,0,1
-MfckLtDG9UbB1O-PADy,2809,0.5,1,smalldotT,experiment,3,26,0,,1,smallSharp_and_smallDot,A2WWYVKGZZXBOB,0,,ArrowLeft,smallsharpT,1,,6,1,1
