_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfcauNJiM02Ufa_Winn,11699,0.5,14,smallsharpT,practice,3,1,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,none,1,,18,1,1
-Mfcawait7SZKfsbs3AS,5032,0.5,3,smallsharpT,practice,3,2,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smallsharpT,2,,12,0,1
-MfcayEDE8aPxTIR6mj7,3679,0.5,16,smallsharpT,practice,3,3,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smallsharpT,3,,18,0,1
-Mfcb1ZjIAmx5wvwlTkA,15747,0.5,0,smalldotT,practice,3,4,0,,1,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smallsharpT,1,,6,1,1
-Mfcb4JDFjN5HHx6KdaH,9217,0.5,11,smallsharpT,practice,3,5,0,,1,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smalldotT,1,,18,1,1
-Mfcb7T5g2IQ38C0EscY,9902,0.5,16,smalldotT,practice,3,6,0,,1,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smallsharpT,1,,18,1,1
-Mfcb88aNAR0WdO9BetO,767,0.5,1,smalldotT,practice,3,7,0,,1,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smalldotT,2,,12,0,1
-Mfcb9qqctDcvbrkhjDv,3983,0.5,8,smalldotT,practice,3,8,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smalldotT,3,,18,0,1
-MfcbCFDGCroXFXHFGlK,6805,0.5,2,smallsharpT,practice,3,9,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smalldotT,1,,18,1,1
-MfcbDdKYzhYZWibsm4d,2690,0.5,11,smallsharpT,practice,3,10,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smallsharpT,2,,12,0,1
-MfcbFraa9STCAveCdJK,6100,0.5,2,smallsharpT,experiment,3,11,0,,1,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smallsharpT,3,,12,0,1
-MfcbHCCAevH1fAk3Cl9,2466,0.5,0,smallsharpT,experiment,3,12,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smallsharpT,4,,12,0,1
-MfcbIapXURmItEAiv4d,2718,0.5,10,smallsharpT,experiment,3,13,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smallsharpT,5,,18,0,1
-MfcbK-DDG1WGR1GS9Rs,2712,0.5,10,smalldotT,experiment,3,14,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfcbLBELaD0MGYGD7Xe,1850,0.5,5,smallsharpT,experiment,3,15,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfcbMvMLb0mXiatfij7,4105,0.5,1,smallsharpT,experiment,3,16,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smallsharpT,2,,6,0,1
-MfcbOT_4uGBxp6iy3UE,3336,0.5,0,smalldotT,experiment,3,17,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smallsharpT,1,,6,1,1
-MfcbQ0yW-3yrf4-RDid,3341,0.5,4,smalldotT,experiment,3,18,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smalldotT,2,,6,0,1
-MfcbSFSQ8ptc8k2hqM5,6112,0.5,7,smalldotT,experiment,3,19,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smalldotT,3,,12,0,1
-MfcbTkRYt7tpnMIvR3v,3124,0.5,2,smallsharpT,experiment,3,20,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfcbVIw2hJmT1KndJnV,4350,0.5,6,smalldotT,experiment,3,21,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfcbX4onCsi0VewpvkX,4275,0.5,11,smallsharpT,experiment,3,22,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smalldotT,1,,12,1,1
-Mfcb__JATnc1LcB3AWh,11285,0.5,5,smalldotT,experiment,3,23,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smallsharpT,1,,18,1,1
-MfcbaoSenqgrFzmL71K,2051,0.5,4,smalldotT,experiment,3,24,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smalldotT,2,,12,0,1
-Mfcbbu_nRPJQmXaJAfI,1477,0.5,9,smalldotT,experiment,3,25,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smalldotT,3,,18,0,1
-Mfcbe-JL6BpgU_ddfK_,5545,0.5,2,smalldotT,experiment,3,26,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smalldotT,4,,18,0,1
-MfcbgBKInl7ls0TBlP9,5946,0.5,5,smallsharpT,experiment,3,27,0,,1,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smalldotT,1,,12,1,1
-Mfcbi5BhrjkTw_XENcd,4788,0.5,5,smallsharpT,experiment,3,28,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smallsharpT,2,,18,0,1
-MfcbkwZd49Ya9xRc2R9,8666,0.5,1,smallsharpT,experiment,3,29,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smallsharpT,3,,18,0,1
-MfcbmLvv2p2XVIkLHa8,2774,0.5,5,smalldotT,experiment,3,30,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfcbnRIVQU-RiQq7DhT,2422,0.5,9,smalldotT,experiment,3,31,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smalldotT,2,,18,0,1
-Mfcbq2ZZplW4P-99Bdr,7692,0.5,1,smallsharpT,experiment,3,32,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smalldotT,1,,18,1,1
-Mfcbr233tmVO3XQdzeV,2051,0.5,1,smallsharpT,experiment,3,33,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smallsharpT,2,,6,0,1
-MfcbsfJF7m6vjZRzJz5,3661,0.5,5,smalldotT,experiment,3,34,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smallsharpT,1,,12,1,1
-Mfcbv43XgHcIheI2XZP,7825,0.5,1,smalldotT,experiment,3,35,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smalldotT,2,,18,0,1
-MfcbwAnLhF62FTC3ek-,2514,0.5,6,smalldotT,experiment,3,36,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smalldotT,3,,12,0,1
-MfcbxjwaKv5ZNtzfCfL,3382,0.5,9,smalldotT,experiment,3,37,0,,1,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smalldotT,4,,12,0,1
-Mfcc1uvohiZgWzk776s,18172,0.5,2,smalldotT,experiment,3,38,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smalldotT,5,,18,0,1
-Mfcc2wROQRtjGz9XAeM,2176,0.5,2,smalldotT,experiment,3,39,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smalldotT,6,,6,0,1
-Mfcc4UvcPHJW4KgsKso,3350,0.5,3,smalldotT,experiment,3,40,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smalldotT,7,,6,0,1
-Mfcc5cYKpfwBYGwf66S,2638,0.5,3,smallsharpT,experiment,3,41,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smalldotT,1,,6,1,1
-Mfcc6hYI8XBdQKBr2u5,2398,0.5,10,smalldotT,experiment,3,42,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smallsharpT,1,,18,1,1
-Mfcc7kw87BhJxG4kLi3,2302,0.5,8,smalldotT,experiment,3,43,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smalldotT,2,,12,0,1
-Mfcc8wgKEjHPlv8Quy4,1832,0.5,5,smallsharpT,experiment,3,44,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smalldotT,1,,12,1,1
-MfccAaYf5KOVlPpcCZy,3759,0.5,1,smalldotT,experiment,3,45,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smallsharpT,1,,12,1,1
-MfccC3YC9M_7RHf3d2x,4004,0.5,5,smallsharpT,experiment,3,46,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfccDQBF1LtkgeCTReK,2535,0.5,8,smallsharpT,experiment,3,47,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smallsharpT,2,,12,0,1
-MfccEifBCkd8Cudri8J,3332,0.5,5,smalldotT,experiment,3,48,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smallsharpT,1,,6,1,1
-MfccGCvKGP6t-HOn3-g,3088,0.5,3,smalldotT,experiment,3,49,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowRight,smalldotT,2,,12,0,1
-MfccHbQC3fFQnl7rcs9,2721,0.5,2,smallsharpT,experiment,3,50,0,,0,smallSharp_and_smallDot,ADA2FGKKWP33DFWS,0,,ArrowLeft,smalldotT,1,,6,1,1
