,_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
3117,-MfaC0OOdyJ-4Ffyw4KV,3534,0.5,17,smallsharpT,experiment,3,102,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,18,1,1
3118,-MfaC1PUt4ic7kf7afgK,1147,0.5,4,smallsharpT,experiment,3,103,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,2,,6,0,1
3119,-MfaC2ERKxPGVp5oifP_,1377,0.5,1,smallsharpT,experiment,3,104,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,3,,18,0,1
3120,-MfaC3MtsHm0ytpe1ofJ,2631,0.5,0,smalldotT,experiment,3,105,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,1,,12,1,1
3121,-MfaC4erW-cgQ8yWPVxK,2290,0.5,5,smalldotT,experiment,3,106,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,2,,6,0,1
3122,-MfaC6IY8cHrXEjX47ni,3685,0.5,10,smallsharpT,experiment,3,107,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,12,1,1
3123,-MfaC7Pj0-w7Hy1JZpNG,2543,0.5,14,smalldotT,experiment,3,108,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,1,,18,1,1
3124,-MfaC8Oyw3xu3pKS722C,1041,0.5,1,smallsharpT,experiment,3,109,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,1,,6,1,1
3125,-MfaCAbBwle-duDgFExj,7026,0.5,17,smallsharpT,experiment,3,110,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,2,,18,0,1
3126,-MfaCBltJq-P__O6glTr,1775,0.5,8,smallsharpT,experiment,3,111,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,3,,12,0,1
3127,-MfaCCpK8fObVtxaZT-T,2301,0.5,17,smallsharpT,experiment,3,112,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,4,,18,0,1
3128,-MfaCDhNZO2xMzffLtfd,1577,0.5,0,smallsharpT,experiment,3,113,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,5,,6,0,1
