_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfcZUMpKTXXMw1DIezL,7049,0.5,6,smallsharpT,practice,3,1,0,,0,smallSharp_and_smallDot,A3UDUHUVFKD833,0,,ArrowLeft,none,1,,18,1,1
-MfcZVT5Z0ksFbolot0L,2853,0.5,1,smalldotT,practice,3,2,0,,1,smallSharp_and_smallDot,A3UDUHUVFKD833,0,,ArrowRight,smallsharpT,1,,6,1,1
-MfcZWYYXTzVw7WoNsMw,1410,0.5,3,smalldotT,practice,3,3,0,,0,smallSharp_and_smallDot,A3UDUHUVFKD833,0,,ArrowLeft,smalldotT,2,,6,0,1
-MfcZXtv6dyFQexueIvc,2495,0.5,5,smallsharpT,practice,3,4,0,,1,smallSharp_and_smallDot,A3UDUHUVFKD833,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfcZ_PAWfwIgxIeFXyy,7234,0.5,5,smalldotT,practice,3,5,0,,0,smallSharp_and_smallDot,A3UDUHUVFKD833,0,,ArrowRight,smallsharpT,1,,12,1,1
-MfcZaZGeRt4H4s8kV8V,1712,0.5,1,smalldotT,practice,3,6,0,,0,smallSharp_and_smallDot,A3UDUHUVFKD833,0,,ArrowRight,smalldotT,2,,12,0,1
-MfcZbnY8HFNEbMaS6_i,2052,0.5,6,smallsharpT,practice,3,7,0,,0,smallSharp_and_smallDot,A3UDUHUVFKD833,0,,ArrowLeft,smalldotT,1,,18,1,1
-MfcZd-z5maoB4LGe_tC,1911,0.5,7,smalldotT,practice,3,8,0,,0,smallSharp_and_smallDot,A3UDUHUVFKD833,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfcZeiliJdVK6ynDWTe,3986,0.5,14,smallsharpT,practice,3,9,0,,0,smallSharp_and_smallDot,A3UDUHUVFKD833,0,,ArrowLeft,smalldotT,1,,18,1,1
-MfcZfujVNCdSosw82Sg,1821,0.5,2,smalldotT,practice,3,10,0,,0,smallSharp_and_smallDot,A3UDUHUVFKD833,0,,ArrowLeft,smallsharpT,1,,6,1,1
-MfcZgwo-F3bbBOsV_Ki,1180,0.5,3,smalldotT,experiment,3,11,0,,0,smallSharp_and_smallDot,A3UDUHUVFKD833,0,,ArrowLeft,smalldotT,2,,6,0,1
-MfcZiBlgTl5hxtDIPiH,2090,0.5,4,smallsharpT,experiment,3,12,0,,0,smallSharp_and_smallDot,A3UDUHUVFKD833,0,,ArrowRight,smalldotT,1,,6,1,1
-MfcZjE_zrWbfgOap_vb,1241,0.5,0,smalldotT,experiment,3,13,0,,0,smallSharp_and_smallDot,A3UDUHUVFKD833,0,,ArrowRight,smallsharpT,1,,6,1,1
-MfcZkBiycAfjbGpnhEH,1891,0.5,4,smallsharpT,experiment,3,14,0,,0,smallSharp_and_smallDot,A3UDUHUVFKD833,0,,ArrowRight,smalldotT,1,,6,1,1
-MfcZlHzNBHWi3MSqBia,1465,0.5,2,smallsharpT,experiment,3,15,0,,0,smallSharp_and_smallDot,A3UDUHUVFKD833,0,,ArrowLeft,smallsharpT,2,,18,0,1
-MfcZmN1Rccu_v_y42pg,1391,0.5,3,smalldotT,experiment,3,16,0,,0,smallSharp_and_smallDot,A3UDUHUVFKD833,0,,ArrowRight,smallsharpT,1,,6,1,1
-MfcZo6nTmsnUrkyqwy6,4067,0.5,3,smalldotT,experiment,3,17,0,,0,smallSharp_and_smallDot,A3UDUHUVFKD833,0,,ArrowRight,smalldotT,2,,12,0,1
-MfcZpZd4IWCxipaOWer,2920,0.5,3,smallsharpT,experiment,3,18,0,,0,smallSharp_and_smallDot,A3UDUHUVFKD833,0,,ArrowRight,smalldotT,1,,6,1,1
