_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfaY-tAFc0p9zWZBMhT,728,0.5,5,smalldotT,practice,3,1,0,,0,smallSharp_and_smallDot,A3G5OWGKHW6OL5,0,,ArrowLeft,none,1,,6,1,1
-MfaY0Nj5lg9ONvylOtq,780,0.5,10,smalldotT,practice,3,2,0,,1,smallSharp_and_smallDot,A3G5OWGKHW6OL5,0,,ArrowLeft,smalldotT,2,,12,0,1
-MfaY1HzOwieLWIzxet_,716,0.5,9,smallsharpT,practice,3,3,0,,0,smallSharp_and_smallDot,A3G5OWGKHW6OL5,0,,ArrowLeft,smalldotT,1,,12,1,1
-MfaY2Mz7ObKabStkPbp,1399,0.5,7,smallsharpT,practice,3,4,0,,1,smallSharp_and_smallDot,A3G5OWGKHW6OL5,0,,ArrowLeft,smallsharpT,2,,18,0,1
-MfaY3qgzDt532NkmP8b,3055,0.5,12,smalldotT,practice,3,5,0,,0,smallSharp_and_smallDot,A3G5OWGKHW6OL5,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfaY5BTvTqSscrJ7n6N,2473,0.5,3,smalldotT,practice,3,6,0,,0,smallSharp_and_smallDot,A3G5OWGKHW6OL5,0,,ArrowRight,smalldotT,2,,12,0,1
-MfaY6cTBb7tF9ZMPyIh,2883,0.5,8,smalldotT,practice,3,7,0,,1,smallSharp_and_smallDot,A3G5OWGKHW6OL5,0,,ArrowLeft,smalldotT,3,,12,0,1
-MfaY7fzF_6XSihnoFsu,1305,0.5,1,smalldotT,practice,3,8,0,,1,smallSharp_and_smallDot,A3G5OWGKHW6OL5,0,,ArrowLeft,smalldotT,4,,6,0,1
-MfaY8tDK7GlpJjkhmsg,1938,0.5,1,smallsharpT,practice,3,9,0,,1,smallSharp_and_smallDot,A3G5OWGKHW6OL5,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfaYAZFITrYKgXDbL-i,3834,0.5,13,smalldotT,practice,3,10,0,,0,smallSharp_and_smallDot,A3G5OWGKHW6OL5,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfaYCRzCpegasFLUBTQ,4723,0.5,8,smallsharpT,experiment,3,11,0,,1,smallSharp_and_smallDot,A3G5OWGKHW6OL5,0,,ArrowLeft,smalldotT,1,,12,1,1
-MfaYDXMaHcVbVgiBhAY,1425,0.5,10,smallsharpT,experiment,3,12,0,,1,smallSharp_and_smallDot,A3G5OWGKHW6OL5,0,,ArrowLeft,smallsharpT,2,,12,0,1
-MfaYEfhTqzWSoEVyeBz,1691,0.5,1,smallsharpT,experiment,3,13,0,,1,smallSharp_and_smallDot,A3G5OWGKHW6OL5,0,,ArrowRight,smallsharpT,3,,6,0,1
-MfaYG2xdu5LYYcbqKnl,2637,0.5,0,smallsharpT,experiment,3,14,0,,0,smallSharp_and_smallDot,A3G5OWGKHW6OL5,0,,ArrowLeft,smallsharpT,4,,12,0,1
-MfaYHHLYfwT1xwEIpKg,2001,0.5,9,smallsharpT,experiment,3,15,0,,0,smallSharp_and_smallDot,A3G5OWGKHW6OL5,0,,ArrowRight,smallsharpT,5,,12,0,1
-MfaYIxyR9Tq0_ARRWKq,3875,0.5,15,smalldotT,experiment,3,16,0,,0,smallSharp_and_smallDot,A3G5OWGKHW6OL5,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfaYKMDpLMSDyZgHKd7,2703,0.5,1,smalldotT,experiment,3,17,0,,1,smallSharp_and_smallDot,A3G5OWGKHW6OL5,0,,ArrowLeft,smalldotT,2,,6,0,1
