_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-Mf_yA_ZLJeZhMoy7ikf,3190,0.5,3,smallsharpT,practice,3,1,0,,1,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowLeft,none,1,,6,1,1
-Mf_yBcQi1wo4xfUeD4G,1176,0.5,5,smalldotT,practice,3,2,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowLeft,smallsharpT,1,,6,1,1
-Mf_yD2kMUb7sCXRiGzI,2833,0.5,3,smalldotT,practice,3,3,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowRight,smalldotT,2,,18,0,1
-Mf_yEHIpBbD86OnUzHi,2001,0.5,3,smallsharpT,practice,3,4,0,,1,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowLeft,smalldotT,1,,6,1,1
-Mf_yFux9uNCDuSBjgaa,3669,0.5,17,smalldotT,practice,3,5,0,,1,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowLeft,smallsharpT,1,,18,1,1
-Mf_yIAC3g19As2vPP03,6212,0.5,0,smalldotT,practice,3,6,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowRight,smalldotT,2,,12,0,1
-Mf_yJOzoGkD0KpEa5Pw,2017,0.5,1,smallsharpT,practice,3,7,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowLeft,smalldotT,1,,6,1,1
-Mf_yLFjVbe6sMnMz7c4,4574,0.5,8,smalldotT,practice,3,8,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowRight,smallsharpT,1,,18,1,1
-Mf_yMPz5R1ZQaHdriaD,1735,0.5,8,smallsharpT,practice,3,9,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowRight,smalldotT,1,,18,1,1
-Mf_yNOEEV75iw4ASHgY,964,0.5,6,smallsharpT,practice,3,10,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowRight,smallsharpT,2,,12,0,1
-Mf_yOeOj769jxsYYIS7,2165,0.5,2,smalldotT,experiment,3,11,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowRight,smallsharpT,1,,6,1,1
-Mf_yQ-f8_xa_hack7P3,2500,0.5,1,smalldotT,experiment,3,12,0,,1,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowLeft,smalldotT,2,,18,0,1
-Mf_yQwvT3tt1bWxO9FV,826,0.5,2,smalldotT,experiment,3,13,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowRight,smalldotT,3,,6,0,1
-Mf_ySKP1XM70z0-SbOI,2642,0.5,2,smallsharpT,experiment,3,14,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowRight,smalldotT,1,,12,1,1
-Mf_yTP9aq_OzU-aADnk,1374,0.5,5,smalldotT,experiment,3,15,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowRight,smallsharpT,1,,6,1,1
-Mf_yUOAqbKxnNeb9BR3,1000,0.5,5,smalldotT,experiment,3,16,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowLeft,smalldotT,2,,12,0,1
-Mf_yVR7mbXuIEjRHiYO,1271,0.5,4,smalldotT,experiment,3,17,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowRight,smalldotT,3,,6,0,1
-Mf_yWWBnPI1NWqwYk8D,1393,0.5,5,smallsharpT,experiment,3,18,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowRight,smalldotT,1,,6,1,1
-Mf_yXYujGBSc2ecfzNM,1240,0.5,4,smallsharpT,experiment,3,19,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowLeft,smallsharpT,2,,6,0,1
-Mf_yYmeXcs7eySTu2lg,2029,0.5,1,smalldotT,experiment,3,20,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowRight,smallsharpT,1,,6,1,1
-Mf_yZwR-hiVstGEaMKj,1709,0.5,6,smallsharpT,experiment,3,21,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowLeft,smalldotT,1,,12,1,1
-Mf_ya8yy6x1PW-XMk2J,1937,0.5,0,smalldotT,experiment,3,22,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowRight,smallsharpT,1,,6,1,1
-Mf_yc0T94zs1Up46jU7,4616,0.5,4,smallsharpT,experiment,3,23,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowLeft,smalldotT,1,,18,1,1
-Mf_ydOhwgrLbA21GKmk,2630,0.5,2,smalldotT,experiment,3,24,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowRight,smallsharpT,1,,12,1,1
-Mf_yf4EwghzV16a462O,3863,0.5,6,smallsharpT,experiment,3,25,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowRight,smalldotT,1,,12,1,1
-Mf_yhgymEikr_7g9I0J,7707,0.5,1,smalldotT,experiment,3,26,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowLeft,smallsharpT,1,,18,1,1
-Mf_yjBi5owFPCFIneXm,3101,0.5,1,smalldotT,experiment,3,27,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowLeft,smalldotT,2,,6,0,1
-Mf_ykMigXI8CPLW2rsO,1789,0.5,11,smallsharpT,experiment,3,28,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowLeft,smalldotT,1,,12,1,1
-Mf_ylMDA0c4yiQRV1Rq,1040,0.5,0,smalldotT,experiment,3,29,0,,0,smallSharp_and_smallDot,A2615YW1YERQBO,0,,ArrowRight,smallsharpT,1,,6,1,1
