_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-Mfa9SGh_yvI2MATZksS,994,0.5,2,smallsharpT,practice,3,1,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,none,1,,6,1,1
-Mfa9TK5ObpRcKG5aw3z,1696,0.5,10,smallsharpT,practice,3,2,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,2,,12,0,1
-Mfa9ULqfJZRGi1ItoeF,1191,0.5,5,smalldotT,practice,3,3,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,1,,6,1,1
-Mfa9W04Cf_SwYcAhPtc,3780,0.5,4,smallsharpT,practice,3,4,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,12,1,1
-Mfa9YHagj0MCjHeRLTV,6289,0.5,9,smallsharpT,practice,3,5,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,2,,12,0,1
-Mfa9b_dqYtgnY5lVyzN,14595,0.5,7,smalldotT,practice,3,6,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,1,,18,1,1
-Mfa9d4lHQBjY9Hb5js3,3133,0.5,5,smallsharpT,practice,3,7,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,1,,6,1,1
-Mfa9ehhLFrc-pEzsstE,3642,0.5,2,smallsharpT,practice,3,8,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,2,,12,0,1
-Mfa9g60oj4lREg6_wdN,3700,0.5,2,smalldotT,practice,3,9,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,1,,6,1,1
-Mfa9j92PHULO_SAWmdC,9477,0.5,11,smalldotT,practice,3,10,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,2,,12,0,1
-Mfa9kZ6yYKJJiB3u617,2753,0.5,6,smalldotT,experiment,3,11,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,3,,12,0,1
-Mfa9lacbAZ2ngdYlxWO,1252,0.5,5,smalldotT,experiment,3,12,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,4,,6,0,1
-Mfa9miADi5jur8HeJby,1547,0.5,0,smallsharpT,experiment,3,13,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,6,1,1
-Mfa9o5p0BhLnZQB4hA1,3665,0.5,10,smallsharpT,experiment,3,14,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,2,,12,0,1
-Mfa9pStzmImTpE7uKOJ,2552,0.5,2,smalldotT,experiment,3,15,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,1,,6,1,1
-Mfa9qdmNossJYRdsB-J,1852,0.5,9,smallsharpT,experiment,3,16,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,1,,12,1,1
-Mfa9rftPO3vlJLtJjhw,2216,0.5,0,smalldotT,experiment,3,17,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,1,,6,1,1
-Mfa9tnlXoqqZTs24eMS,5665,0.5,15,smallsharpT,experiment,3,18,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,1,,18,1,1
-Mfa9vPIKneE3ILhT0ah,3554,0.5,1,smallsharpT,experiment,3,19,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,2,,6,0,1
-Mfa9wUN_0HQ_GIYwQdb,2411,0.5,5,smalldotT,experiment,3,20,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,1,,6,1,1
-Mfa9xSZ_cjBj7FT7A4z,1971,0.5,2,smallsharpT,experiment,3,21,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,6,1,1
-Mfa9z7TlwPqlzcaSaME,3836,0.5,0,smallsharpT,experiment,3,22,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,2,,6,0,1
-MfaA-gL4kJdDviMW_Sp,3387,0.5,0,smalldotT,experiment,3,23,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,1,,12,1,1
