_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfaGAXJ0cawIhKnq5rj,3788,0.5,9,smalldotT,practice,3,1,0,,0,smallSharp_and_smallDot,A353XKDTUX10NC,0,,ArrowLeft,none,1,,12,1,1
-MfaGBsP4JV4x3g9aiNR,2535,0.5,2,smalldotT,practice,3,2,0,,1,smallSharp_and_smallDot,A353XKDTUX10NC,0,,ArrowLeft,smalldotT,2,,6,0,1
-MfaGDf120LJiM7Fxn4e,4330,0.5,11,smallsharpT,practice,3,3,0,,0,smallSharp_and_smallDot,A353XKDTUX10NC,0,,ArrowLeft,smalldotT,1,,12,1,1
-MfaGEmWC4U9rs7F4SS7,1570,0.5,13,smallsharpT,practice,3,4,0,,0,smallSharp_and_smallDot,A353XKDTUX10NC,0,,ArrowRight,smallsharpT,2,,18,0,1
-MfaGGLsbY6mt3uEKyRF,3418,0.5,4,smalldotT,practice,3,5,0,,0,smallSharp_and_smallDot,A353XKDTUX10NC,0,,ArrowRight,smallsharpT,1,,12,1,1
-MfaGHQ2oUvsSW8hqlAZ,1356,0.5,5,smallsharpT,practice,3,6,0,,0,smallSharp_and_smallDot,A353XKDTUX10NC,0,,ArrowRight,smalldotT,1,,6,1,1
-MfaGJGtmMy_pTl7x78g,4602,0.5,4,smalldotT,practice,3,7,0,,0,smallSharp_and_smallDot,A353XKDTUX10NC,0,,ArrowRight,smallsharpT,1,,18,1,1
-MfaGLE1-x28-myro4Nr,5002,0.5,5,smallsharpT,practice,3,8,0,,1,smallSharp_and_smallDot,A353XKDTUX10NC,0,,ArrowRight,smalldotT,1,,18,1,1
-MfaGNOfMsBG0y3S1CA4,5866,0.5,4,smallsharpT,practice,3,9,0,,1,smallSharp_and_smallDot,A353XKDTUX10NC,0,,ArrowLeft,smallsharpT,2,,12,0,1
-MfaGOhXdjawYHqe0jDs,2360,0.5,3,smallsharpT,practice,3,10,0,,0,smallSharp_and_smallDot,A353XKDTUX10NC,0,,ArrowRight,smallsharpT,3,,12,0,1
-MfaGPx8A4PE0Q2F78pP,2088,0.5,16,smallsharpT,experiment,3,11,0,,0,smallSharp_and_smallDot,A353XKDTUX10NC,0,,ArrowRight,smallsharpT,4,,18,0,1
-MfaGR493_ODiLvItAZH,1604,0.5,4,smalldotT,experiment,3,12,0,,0,smallSharp_and_smallDot,A353XKDTUX10NC,0,,ArrowLeft,smallsharpT,1,,6,1,1
-MfaGSgmnFGO_QualBWr,3626,0.5,2,smallsharpT,experiment,3,13,0,,0,smallSharp_and_smallDot,A353XKDTUX10NC,0,,ArrowRight,smalldotT,1,,12,1,1
-MfaGU0PRI-Mxwmqg6Ar,2410,0.5,2,smallsharpT,experiment,3,14,0,,0,smallSharp_and_smallDot,A353XKDTUX10NC,0,,ArrowRight,smallsharpT,2,,6,0,1
-MfaGVFnI4r0JNzA65SL,2075,0.5,3,smalldotT,experiment,3,15,0,,1,smallSharp_and_smallDot,A353XKDTUX10NC,0,,ArrowRight,smallsharpT,1,,6,1,1
-MfaGWrljIgXQLtOYPcU,3585,0.5,8,smallsharpT,experiment,3,16,0,,0,smallSharp_and_smallDot,A353XKDTUX10NC,0,,ArrowLeft,smalldotT,1,,12,1,1
-MfaGYDQHB0-LfEw57LA,2540,0.5,5,smallsharpT,experiment,3,17,0,,1,smallSharp_and_smallDot,A353XKDTUX10NC,0,,ArrowLeft,smallsharpT,2,,6,0,1
-MfaGaCAPginzKbrIzL-,9201,0.5,6,smalldotT,experiment,3,18,0,,1,smallSharp_and_smallDot,A353XKDTUX10NC,0,,ArrowRight,smallsharpT,1,,18,1,1
-MfaGbsQ1y3tQunsX0Qa,3857,0.5,4,smallsharpT,experiment,3,19,0,,1,smallSharp_and_smallDot,A353XKDTUX10NC,0,,ArrowRight,smalldotT,1,,6,1,1
