_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfYglNpHqjq-msfCQSY,12203,0.5,0,smalldotT,practice,3,1,0,,1,smallSharp_and_smallDot,A1ZE87WEYCA44A,0,,ArrowLeft,none,1,,12,1,1
-MfYgnhKyt2Pldmoe_mL,4745,0.5,4,smalldotT,practice,3,2,0,,0,smallSharp_and_smallDot,A1ZE87WEYCA44A,0,,ArrowRight,smalldotT,2,,6,0,1
-MfYgqISBbBEM8TCSwpY,7633,0.5,4,smalldotT,practice,3,3,0,,0,smallSharp_and_smallDot,A1ZE87WEYCA44A,0,,ArrowLeft,smalldotT,3,,12,0,1
-MfYgt-hJUJmt9BDYddv,8087,0.5,0,smallsharpT,practice,3,4,0,,0,smallSharp_and_smallDot,A1ZE87WEYCA44A,0,,ArrowLeft,smalldotT,1,,12,1,1
-MfYguJCS_u9JLEHPQmA,2342,0.5,2,smallsharpT,practice,3,5,0,,1,smallSharp_and_smallDot,A1ZE87WEYCA44A,0,,ArrowRight,smallsharpT,2,,18,0,1
-MfYgvbSS_1GyFECbM1E,2328,0.5,6,smallsharpT,practice,3,6,0,,0,smallSharp_and_smallDot,A1ZE87WEYCA44A,0,,ArrowRight,smallsharpT,3,,18,0,1
-MfYgx6xGDJaVr5Txoms,3176,0.5,11,smalldotT,practice,3,7,0,,0,smallSharp_and_smallDot,A1ZE87WEYCA44A,0,,ArrowRight,smallsharpT,1,,12,1,1
-MfYgzjDkskxLbOFMKFC,7704,0.5,15,smalldotT,practice,3,8,0,,0,smallSharp_and_smallDot,A1ZE87WEYCA44A,0,,ArrowLeft,smalldotT,2,,18,0,1
-MfYh-zBLadOHKCc_Vj1,2118,0.5,4,smallsharpT,practice,3,9,0,,0,smallSharp_and_smallDot,A1ZE87WEYCA44A,0,,ArrowRight,smalldotT,1,,12,1,1
-MfYh12E3VGTk0L_X8OC,1354,0.5,4,smalldotT,practice,3,10,0,,0,smallSharp_and_smallDot,A1ZE87WEYCA44A,0,,ArrowRight,smallsharpT,1,,6,1,1
-MfYh2Ng_8rT13tMDcuH,2471,0.5,2,smalldotT,experiment,3,11,0,,1,smallSharp_and_smallDot,A1ZE87WEYCA44A,0,,ArrowRight,smalldotT,2,,6,0,1
-MfYh4CwIm7Ly_D6Levu,4504,0.5,5,smalldotT,experiment,3,12,0,,0,smallSharp_and_smallDot,A1ZE87WEYCA44A,0,,ArrowRight,smalldotT,3,,12,0,1
-MfYh7m3g88QOONM8FCW,11599,0.5,15,smallsharpT,experiment,3,13,0,,0,smallSharp_and_smallDot,A1ZE87WEYCA44A,0,,ArrowLeft,smalldotT,1,,18,1,1
-MfYh94wVqMY63ffATJy,2368,0.5,5,smalldotT,experiment,3,14,0,,0,smallSharp_and_smallDot,A1ZE87WEYCA44A,0,,ArrowLeft,smallsharpT,1,,6,1,1
