_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfYjJZ_e-okW2Mz4EOH,1657,0.5,4,smalldotT,practice,3,1,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,none,1,,6,1,1
-MfYjKgouAIrdQY07bIC,1557,0.5,7,smallsharpT,practice,3,2,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smalldotT,1,,18,1,1
-MfYjLcJt862ERPL8hWa,805,0.5,5,smalldotT,practice,3,3,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowRight,smallsharpT,1,,6,1,1
-MfYjMk5q09vGe0IKgTc,1584,0.5,1,smalldotT,practice,3,4,0,,1,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowRight,smalldotT,2,,12,0,1
-MfYjNmL9MIs0yc0a-tS,1229,0.5,2,smallsharpT,practice,3,5,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowRight,smalldotT,1,,18,1,1
-MfYjOXOZNI7eUIMnQWR,1063,0.5,0,smallsharpT,practice,3,6,0,,1,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowRight,smallsharpT,2,,6,0,1
-MfYjPXTzSEYtPZTEhJG,1091,0.5,4,smallsharpT,practice,3,7,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowRight,smallsharpT,3,,6,0,1
-MfYjQV5YbsHcqAMEHiX,934,0.5,0,smalldotT,practice,3,8,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowRight,smallsharpT,1,,6,1,1
-MfYjRU0NrCvGwxFZN2x,1016,0.5,3,smalldotT,practice,3,9,0,,1,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smalldotT,2,,6,0,1
-MfYjSVOjlcXs5VX_joU,1177,0.5,6,smalldotT,practice,3,10,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smalldotT,3,,12,0,1
-MfYjTZb0EdK95lZjVlX,1356,0.5,12,smalldotT,experiment,3,11,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smalldotT,4,,18,0,1
-MfYjUartGSzAU0FpOia,1232,0.5,5,smallsharpT,experiment,3,12,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smalldotT,1,,18,1,1
-MfYjVvRHt4gADcJkyX3,2406,0.5,11,smalldotT,experiment,3,13,0,,1,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowRight,smallsharpT,1,,18,1,1
-MfYjWsUyZa2UU2r-96r,901,0.5,11,smallsharpT,experiment,3,14,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smalldotT,1,,12,1,1
-MfYjY--y9oVLaH6sPwR,1565,0.5,11,smalldotT,experiment,3,15,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfYjZ7EmueKJd0N8Ye3,1613,0.5,4,smallsharpT,experiment,3,16,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowRight,smalldotT,1,,18,1,1
-MfYj_GR1l75WGlHHSId,1678,0.5,5,smallsharpT,experiment,3,17,0,,1,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smallsharpT,2,,6,0,1
-MfYjaT5Wd5gYSuqFZe_,1896,0.5,1,smalldotT,experiment,3,18,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfYjbihlwX10a3MhrBx,2152,0.5,1,smallsharpT,experiment,3,19,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfYjcrlkbtFGDKTgKKg,1665,0.5,5,smalldotT,experiment,3,20,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smallsharpT,1,,6,1,1
-MfYjeM-tZ8AG7-iaP5J,3083,0.5,2,smallsharpT,experiment,3,21,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowRight,smalldotT,1,,18,1,1
-MfYjfJIzUO40mV8k3oY,915,0.5,1,smalldotT,experiment,3,22,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfYjgMh3aNqkta5TkB-,1303,0.5,4,smalldotT,experiment,3,23,0,,1,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smalldotT,2,,18,0,1
-MfYjhUUuzyolrIELwSJ,1584,0.5,11,smalldotT,experiment,3,24,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowRight,smalldotT,3,,18,0,1
-MfYjiU7GgG8cvcFnQPA,1065,0.5,4,smalldotT,experiment,3,25,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smalldotT,4,,6,0,1
-MfYjjh7FYc8OG28EXJF,1981,0.5,14,smalldotT,experiment,3,26,0,,1,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smalldotT,5,,18,0,1
-MfYjknGPEp5XSp9Q3bs,1485,0.5,6,smalldotT,experiment,3,27,0,,1,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smalldotT,6,,12,0,1
-MfYjlpv3Hvr_iIzhMIw,1257,0.5,2,smallsharpT,experiment,3,28,0,,1,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowRight,smalldotT,1,,12,1,1
-MfYjmz_DEERp3xt4ExN,1704,0.5,5,smallsharpT,experiment,3,29,0,,1,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smallsharpT,2,,12,0,1
-MfYjoAT2j5A6m9l2P5T,1846,0.5,3,smallsharpT,experiment,3,30,0,,1,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowRight,smallsharpT,3,,6,0,1
-MfYjp9ORXDeH68VGe8G,1018,0.5,9,smalldotT,experiment,3,31,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowRight,smallsharpT,1,,12,1,1
-MfYjqOOiK8GrZtH4HRP,2050,0.5,4,smallsharpT,experiment,3,32,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowRight,smalldotT,1,,12,1,1
-MfYjrQGlfeAPJRgYkJt,1207,0.5,4,smalldotT,experiment,3,33,0,,1,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowRight,smallsharpT,1,,6,1,1
-MfYjsZiiDN1nVVxskM2,1690,0.5,3,smallsharpT,experiment,3,34,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowRight,smalldotT,1,,18,1,1
-MfYjuD_G34MNi-cJpHC,3766,0.5,3,smallsharpT,experiment,3,35,0,,0,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smallsharpT,2,,18,0,1
-MfYjvTuRsUI-Mz5f-kA,2133,0.5,8,smalldotT,experiment,3,36,0,,1,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfYjwRI4mfe23qBNWbP,922,0.5,0,smalldotT,experiment,3,37,0,,1,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowLeft,smalldotT,2,,12,0,1
-MfYjxUf-PPIW6L6UqXP,1303,0.5,7,smallsharpT,experiment,3,38,0,,1,smallSharp_and_smallDot,AVBRJBJONL47I,0,,ArrowRight,smalldotT,1,,18,1,1
