_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfYfjJ9wkjWkAAL0Zi8,5348,0.5,1,smallsharpT,practice,3,1,0,,1,smallSharp_and_smallDot,A34YDGVZKRJ0LZ,0,,ArrowLeft,none,1,,6,1,1
-MfYfm7P1lEPuFjTtR9x,8473,0.5,2,smallsharpT,practice,3,2,0,,0,smallSharp_and_smallDot,A34YDGVZKRJ0LZ,0,,ArrowRight,smallsharpT,2,,6,0,1
-MfYfoFf3cW93X47C5Dr,5717,0.5,4,smalldotT,practice,3,3,0,,1,smallSharp_and_smallDot,A34YDGVZKRJ0LZ,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfYfqPII6TKTCdMtqLu,5800,0.5,10,smalldotT,practice,3,4,0,,0,smallSharp_and_smallDot,A34YDGVZKRJ0LZ,0,,ArrowLeft,smalldotT,2,,12,0,1
-MfYfs652ZP1KPBI2Dkw,3954,0.5,2,smalldotT,practice,3,5,0,,1,smallSharp_and_smallDot,A34YDGVZKRJ0LZ,0,,ArrowRight,smalldotT,3,,6,0,1
-MfYfty8vvCBWvLrOWSe,4611,0.5,5,smalldotT,practice,3,6,0,,0,smallSharp_and_smallDot,A34YDGVZKRJ0LZ,0,,ArrowLeft,smalldotT,4,,12,0,1
-MfYfvz60OpWhape5ShQ,5245,0.5,4,smallsharpT,practice,3,7,0,,1,smallSharp_and_smallDot,A34YDGVZKRJ0LZ,0,,ArrowRight,smalldotT,1,,6,1,1
-MfYfx_FGcQ5XEn9ZBWx,3529,0.5,16,smalldotT,practice,3,8,0,,0,smallSharp_and_smallDot,A34YDGVZKRJ0LZ,0,,ArrowRight,smallsharpT,1,,18,1,1
-MfYfzHZCF_fPzp_T3s6,3985,0.5,11,smalldotT,practice,3,9,0,,1,smallSharp_and_smallDot,A34YDGVZKRJ0LZ,0,,ArrowRight,smalldotT,2,,12,0,1
-MfYg1RUf7TP9CZu3kC2,9909,0.5,11,smallsharpT,practice,3,10,0,,1,smallSharp_and_smallDot,A34YDGVZKRJ0LZ,0,,ArrowRight,smalldotT,1,,18,1,1
-MfYg3QqSwjnVaABHAkA,6145,0.5,1,smallsharpT,experiment,3,11,0,,1,smallSharp_and_smallDot,A34YDGVZKRJ0LZ,0,,ArrowLeft,smallsharpT,2,,6,0,1
-MfYg6TnLz4cfk_iGDir,9464,0.5,1,smalldotT,experiment,3,12,0,,0,smallSharp_and_smallDot,A34YDGVZKRJ0LZ,0,,ArrowRight,smallsharpT,1,,12,1,1
