_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfYgc2DfTBKF0ShQ6Uh,6592,0.5,1,smallsharpT,practice,3,1,0,,1,smallSharp_and_smallDot,A351P2O6QGTCS,0,,ArrowLeft,none,1,,12,1,1
-MfYgeCnDppIfMXNodaT,6571,0.5,6,smalldotT,practice,3,2,0,,0,smallSharp_and_smallDot,A351P2O6QGTCS,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfYgfwj8Qxyi8jeWndG,4089,0.5,1,smalldotT,practice,3,3,0,,1,smallSharp_and_smallDot,A351P2O6QGTCS,0,,ArrowLeft,smalldotT,2,,6,0,1
