_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfYg6eLQMSh3tOvcpSn,6949,0.5,4,smallsharpT,practice,3,1,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,none,1,,6,1,1
-MfYg9bCLfxJoX8rBLQ4,10019,0.5,14,smalldotT,practice,3,2,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smallsharpT,1,,18,1,1
-MfYgFtm1HH9U_8fQeXZ,23750,0.5,15,smallsharpT,practice,3,3,0,,1,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smalldotT,1,,18,1,1
-MfYgN-0FFQ1ZoMssaao,27058,0.5,0,smallsharpT,practice,3,4,0,,1,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smallsharpT,2,,18,0,1
-MfYgQcya25lzNFaeDM-,12901,0.5,4,smalldotT,practice,3,5,0,,1,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfYgSFvYNlrATkD-Udf,3649,0.5,2,smalldotT,practice,3,6,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smalldotT,2,,12,0,1
-MfYgT9xWU59tS8sQh-t,1701,0.5,6,smallsharpT,practice,3,7,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smalldotT,1,,12,1,1
-MfYgUPLVcaTJR1WTF_J,3064,0.5,6,smalldotT,practice,3,8,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfYgVoh_M1MoOjE4pDg,3777,0.5,11,smalldotT,practice,3,9,0,,1,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smalldotT,2,,18,0,1
-MfYgXpCF7Sy3nkfrMmL,6217,0.5,9,smallsharpT,practice,3,10,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smalldotT,1,,12,1,1
-MfYgZ84vn_ZcZ2GV2fq,3354,0.5,5,smalldotT,experiment,3,11,0,,1,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfYg_05GTGB0Bp50lpF,1577,0.5,6,smallsharpT,experiment,3,12,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smalldotT,1,,12,1,1
-MfYgbUgdEl8NUI1NjhM,8135,0.5,13,smalldotT,experiment,3,13,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfYgf79AvDeSUEVaCPU,11870,0.5,1,smallsharpT,experiment,3,14,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smalldotT,1,,18,1,1
-MfYggsN5XeLnWGUHWDC,5177,0.5,5,smallsharpT,experiment,3,15,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smallsharpT,2,,12,0,1
-MfYgnwQmVzCLZU3ddY2,26920,0.5,10,smalldotT,experiment,3,16,0,,1,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smallsharpT,1,,18,1,1
-MfYgpfk-M6zoEnQ1e8n,5119,0.5,2,smalldotT,experiment,3,17,0,,1,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smalldotT,2,,6,0,1
-MfYgql8ZNc_b450RNpa,2428,0.5,4,smalldotT,experiment,3,18,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smalldotT,3,,6,0,1
-MfYgs1JD5LmX4HUeiwI,3184,0.5,0,smalldotT,experiment,3,19,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smalldotT,4,,12,0,1
-MfYgtJ0QcIyNb6Epkku,2223,0.5,13,smalldotT,experiment,3,20,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smalldotT,5,,18,0,1
-MfYguwr7VOJNEr1mowT,4702,0.5,3,smallsharpT,experiment,3,21,0,,1,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfYgw8n2zXom1K8c8ZO,2918,0.5,3,smalldotT,experiment,3,22,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smallsharpT,1,,6,1,1
-MfYgy-XA76d0q0V-qrV,4591,0.5,3,smalldotT,experiment,3,23,0,,1,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smalldotT,2,,6,0,1
-MfYh-0jRddHES0we179,6260,0.5,0,smallsharpT,experiment,3,24,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfYh1gMZPTHd9G0gdYN,8906,0.5,1,smalldotT,experiment,3,25,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfYh35jkWWKcjjhDAVe,3769,0.5,1,smalldotT,experiment,3,26,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smalldotT,2,,6,0,1
-MfYh4YYSttjSyHlTwSh,2935,0.5,7,smalldotT,experiment,3,27,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smalldotT,3,,12,0,1
-MfYh5jZ7xnMfjvJGBNr,2851,0.5,2,smalldotT,experiment,3,28,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smalldotT,4,,12,0,1
-MfYh7bRjfhGyYvOZ_21,4662,0.5,4,smallsharpT,experiment,3,29,0,,1,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfYh9YhKldvJgkDbLkw,5938,0.5,6,smallsharpT,experiment,3,30,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smallsharpT,2,,18,0,1
-MfYhFSqOuFEx7SUq2yL,22192,0.5,12,smalldotT,experiment,3,31,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfYhHMCDAkZy0tTqWVL,5751,0.5,0,smallsharpT,experiment,3,32,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smalldotT,1,,18,1,1
-MfYhIdHeh-jDx9etONm,2245,0.5,2,smalldotT,experiment,3,33,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smallsharpT,1,,6,1,1
-MfYhJmh0TWF-_QlSH2g,1686,0.5,1,smallsharpT,experiment,3,34,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfYhKrAywq6XlyfVA2k,2370,0.5,10,smallsharpT,experiment,3,35,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smallsharpT,2,,12,0,1
-MfYhMMnEneaN5aLUmM5,3174,0.5,9,smallsharpT,experiment,3,36,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smallsharpT,3,,12,0,1
-MfYhNV4FFhxNsgkiyz6,2611,0.5,2,smallsharpT,experiment,3,37,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smallsharpT,4,,6,0,1
-MfYhOY-aLkLdkGxzTFl,1269,0.5,8,smallsharpT,experiment,3,38,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smallsharpT,5,,18,0,1
-MfYhQ7VSxnkYfgDgLhs,4488,0.5,1,smalldotT,experiment,3,39,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smallsharpT,1,,6,1,1
-MfYhVtkUrb9mHTnC3h5,20627,0.5,8,smallsharpT,experiment,3,40,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smalldotT,1,,12,1,1
-MfYhXeQ-viysNE1vSVr,5196,0.5,15,smallsharpT,experiment,3,41,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smallsharpT,2,,18,0,1
-MfYhYUVbZmKlnJbDO7H,1389,0.5,10,smallsharpT,experiment,3,42,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smallsharpT,3,,12,0,1
-MfYhZX-Yb9qkDlNrZtW,2240,0.5,4,smalldotT,experiment,3,43,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smallsharpT,1,,6,1,1
-MfYha8HcPPksSsNKDcS,4603,0.5,3,smallsharpT,experiment,3,44,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smalldotT,1,,18,1,1
-MfYhbIM_xWGG5-UrzsV,2728,0.5,17,smallsharpT,experiment,3,45,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smallsharpT,2,,18,0,1
-MfYhcIN6bCbPCXj5HdU,2083,0.5,9,smalldotT,experiment,3,46,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smallsharpT,1,,12,1,1
-MfYhd7TAKlJovNGHhCT,1383,0.5,4,smalldotT,experiment,3,47,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smalldotT,2,,6,0,1
-MfYhdygP7oFEzDsh3kl,1457,0.5,7,smalldotT,experiment,3,48,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smalldotT,3,,12,0,1
-MfYhibSrc013gHg90oR,15985,0.5,12,smallsharpT,experiment,3,49,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smalldotT,1,,18,1,1
-MfYhjnTY6c583jJw18p,1856,0.5,4,smalldotT,experiment,3,50,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smallsharpT,1,,12,1,1
-MfYhl6rsERr5E6lE1yN,3391,0.5,6,smalldotT,experiment,3,51,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smalldotT,2,,12,0,1
-MfYhoZw6mFFykkUen8F,12141,0.5,4,smalldotT,experiment,3,52,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowLeft,smalldotT,3,,18,0,1
-MfYhq9U2h6WQhmRLthe,3491,0.5,4,smallsharpT,experiment,3,53,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smalldotT,1,,6,1,1
-MfYhsYF4PeGHTSf4MSj,7766,0.5,4,smallsharpT,experiment,3,54,0,,0,smallSharp_and_smallDot,A33X52IN60MSOE,0,,ArrowRight,smallsharpT,2,,6,0,1
